transaction_id;invoice_no;quantity;product
1;LS35713;1;PACK PARA 2
2;LS35683;1;Channa Masala (Vegano)
3;LS35683;1;Aloo Saag (Vegano)
4;LS35683;1;Pollo Vindaloo
5;LS35677;1;Pakora de Pollo
6;LS35677;1;Degustación Tandoor de Pollo (para 2 personas)
7;LS35649;1;Pollo Madrás
8;LS35649;1;Pollo Korma
9;LS35649;1;Pollo Tikka Masala
10;LS35600;1;PACK PARA 2
11;LS35600;2;Salsa de Mango
12;LS35572;1;Menú
13;LS35572;1;Menú
15;LS35561;1;Arroz Basmati Vegano
16;LS35561;1;Menú
17;LS35541;1;Pollo Tandoori
18;LS35541;1;Pollo Tikka Masala
19;LS35541;1;Arroz Basmati Vegano
20;LS35528;1;Pollo Tikka Masala
21;LS35528;1;Pollo Madrás
22;LS35528;1;Pollo Vindaloo
23;LS35514;1;Menú
24;LS35514;1;Menú
25;LS35511;1;Arroz al Zeera Vegano
26;LS35511;1;Dal Makhani (Vegetariano)
27;LS35511;1;Pollo Makhani Butter Chicken
28;LS35511;1;Pollo Tandoori
29;LS35458;1;Menú
30;LS35449;1;Menú
31;LS35449;1;Menú
32;LS35442;1;PACK PARA 2
33;LS35429;1;Paneer Tikka (Vegetariano)
34;LS35429;1;Pollo Tikka Masala
35;LS35374;1;PACK PARA 2
36;LS35352;1;PACK PARA 2
37;LS35261;1;Menú
38;LS35261;1;Arroz Basmati Vegano
39;LS35226;1;Menú
40;LS35226;1;Menú
41;LS35214;1;Naan
42;LS35214;1;Menú
43;LS35214;1;Menú
44;LS35192;1;Arroz Basmati Vegano
45;LS35192;1;Pollo Saag
46;LS35192;1;Pollo Makhani Butter Chicken
47;LS35110;1;Menú
48;LS35110;1;Menú
49;LS35094;1;Menú
50;LS35094;1;Menú
51;LS35089;1;Vino Tinto BK! Bon Karma! Sostenible DO Montsant
52;LS35089;1;Biryani de Cordero
53;LS35089;1;Degustación Tandoor de Pollo (para 1 persona)
54;LS35004;1;PACK PARA 2
55;LS34997;1;Dal Makhani (Vegetariano)
56;LS34997;1;Pollo Madrás
57;LS34997;1;Palak Paneer (Vegetariano)
58;LS34925;1;Menú
59;LS34925;1;Naan
60;LS34923;1;Dal Amarillo (Vegano)
61;LS34923;1;Menú Tandoor
62;LS34875;1;Menú
63;LS34875;1;Menú
64;LS34863;1;Degustación Tandoor de Pollo (para 1 persona)
65;LS34863;1;Menú Tandoor
66;LS34839;1;Butter Naan
67;LS34839;1;Samosa 1 Unidad
68;LS34839;1;Pollo Tikka Masala
69;LS34822;1;Menú Tandoor
70;LS34822;1;Biryani de Cordero
71;LS34822;1;Lassi de Mango
72;LS34822;1;Pollo Makhani Butter Chicken
73;LS34821;1;PACK PARA 2
74;LS34818;1;Dal Makhani (Vegetariano)
75;LS34818;1;Curry de Mango (Vegetariano)
76;LS34751;1;Menú
77;LS34729;1;Pollo Bhuna
78;LS34729;1;Pollo Tikka Masala
79;LS34729;1;Pollo Madrás
80;LS34729;1;Pakora (vegano)
81;LS34725;1;Menú
82;LS34725;1;Menú
83;LS34721;1;Menú
84;LS34471;2;Samosa 1 Unidad
85;LS34471;1;Pakora (vegano)
86;LS34471;1;Arroz Basmati Vegano
87;LS34471;2;Pollo Korma
88;LS34711;1;Menú Tandoor
89;LS34711;1;Menú
90;LS34675;1;PACK PARA 2
91;LS34675;1;Arroz Basmati Vegano
92;LS34674;1;Butter Naan
93;LS34674;1;Pappad (vegano)
94;LS34674;1;Arroz Basmati Vegano
95;LS34670;1;Tandoori Roti (Vegano)
96;LS34670;1;Pollo Madrás
97;LS34670;1;Korma de Verduras (Vegano)
98;LS34634;1;Arroz al Limón Vegano
99;LS34634;1;Pollo Makhani Butter Chicken
100;LS34634;1;Pakora (vegano)
